id,date,Team,PlayerID,name,age,OVA,POT,BOV,BP,GROWTH,ATTACHING,CROSSING,FINISHING,HEADING_ACCURACY,SHORT_PASSING,Volleys,TotalSkill,Dribbing,Curve,FkAccuracy,LONG_PASSING,BallControl,TotalMovement,Acceleration,SprintSpeed,Agility,Reactions,Balance,TotalPower,ShotPower,Jumping,Stamina,Strength,LongShots,TotalMentary,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,DEFENDING,Marking,StandingStackle,SlidingTackle,GOALKEEPING,GKDriving,GKHandling,GKKicking,GKPositioning,GKReflexes,TotalStats,BaseStats,AttackingWorkRate,DefensiveWorkRate,Pac,SHO,Pas,Dri,DEF,PHY,firstName,lastName
0,2018-06-01,Chelsea,183277, E. Hazard,26,91,91,89,CAM,0,394,81,84,60,89,80,432,94,83,79,83,93,454,93,88,93,87,93,366,79,59,81,67,80,357,54,41,87,89,86,86,89,25,27,22,45,11,12,6,8,8,2122,451,High,Medium,90,82,86,93,32,68,E.,Hazard
1,2018-06-01,Man City,192985, K. De Bruyne,26,91,92,88,CAM,1,402,92,83,54,91,82,431,86,85,83,87,90,405,78,76,82,90,79,403,89,65,88,73,88,388,73,60,86,92,77,77,86,40,58,51,56,15,13,5,10,13,2234,467,High,High,77,85,90,87,52,76,K.,De Bruyne
2,2018-06-01,Man Utd,193080, De Gea,26,91,93,89,GK,2,114,17,13,21,50,13,151,18,21,19,51,42,308,57,58,60,90,43,214,31,67,40,64,12,188,38,30,12,68,40,40,64,13,21,13,443,90,85,87,88,93,1465,501,Medium,Medium,90,85,87,93,58,88,De,Gea
3,2018-06-01,Chelsea,192119, T. Courtois,25,89,92,86,GK,3,86,14,14,13,33,12,110,13,19,20,35,23,284,46,52,61,80,45,229,36,68,38,70,17,122,23,15,13,44,27,27,52,11,18,16,422,86,90,72,86,88,1298,471,Medium,Medium,86,90,72,88,49,86,T.,Courtois
4,2018-06-01,Man City,168542, David Silva,31,89,89,86,CAM,0,382,83,73,54,92,80,417,87,82,76,81,91,403,72,65,92,85,89,347,71,66,81,56,73,353,55,46,86,93,73,73,92,27,50,29,5,1,1,1,1,1,2013,422,High,Medium,68,74,87,89,41,63,David,Silva
5,2018-06-01,Man City,153079, S. Agüero,29,89,89,87,CF,0,401,70,91,74,81,85,395,89,82,72,63,89,439,90,83,86,89,91,404,88,80,77,76,83,344,63,24,91,83,83,83,90,13,20,12,59,13,15,6,11,14,2087,436,High,Medium,86,88,76,89,23,74,S.,Agüero
6,2018-06-01,Chelsea,215914, N. Kanté,26,88,90,85,CDM,2,328,68,65,54,85,56,337,79,49,49,81,79,422,82,80,83,87,90,391,71,79,95,77,69,385,90,91,71,79,54,54,85,75,89,85,54,15,12,10,7,10,2166,468,Medium,High,81,66,76,80,81,84,N.,Kanté
7,2018-06-01,Man Utd,195864, P. Pogba,24,88,92,85,CM,4,400,80,73,75,87,85,430,87,84,82,88,89,376,75,78,76,84,63,439,90,85,91,91,82,395,78,70,83,88,76,76,87,64,70,68,20,5,6,2,4,3,2262,484,High,Low,77,79,86,85,69,88,P.,Pogba
8,2018-06-01,Man Utd,184941, A. Sánchez,28,88,88,85,LW,0,397,81,84,70,79,83,407,90,79,78,73,87,438,88,84,92,87,87,409,84,85,86,72,82,374,80,50,85,82,77,77,86,30,44,35,60,10,10,15,12,13,2194,458,High,Medium,86,83,79,89,43,78,A.,Sánchez
9,2018-06-01,Spurs,167948, H. Lloris,30,88,88,85,GK,0,94,13,10,10,50,11,115,10,11,10,50,34,320,65,62,55,84,54,195,23,74,41,43,14,138,31,27,10,30,40,40,61,12,10,18,413,88,84,68,83,90,1315,476,Medium,Medium,88,84,68,90,63,83,H.,Lloris
10,2018-06-01,Spurs,190460, C. Eriksen,25,88,91,86,CAM,3,384,87,81,52,90,74,431,84,86,86,86,89,399,77,74,80,86,82,374,84,55,91,57,87,342,46,56,83,90,67,67,87,39,57,22,43,9,14,7,7,6,2091,440,High,Medium,75,82,88,85,47,63,C.,Eriksen
11,2018-06-01,Spurs,202126, H. Kane,23,88,91,86,ST,3,406,75,92,83,79,77,387,80,75,68,80,84,372,72,75,73,90,62,417,87,70,88,87,85,369,76,35,92,80,86,86,89,41,36,38,54,8,10,11,14,11,2120,447,High,High,74,89,78,80,42,84,H.,Kane
12,2018-06-01,Arsenal,176635, M. Özil,28,87,87,84,CAM,0,375,82,73,54,89,77,419,85,84,78,83,89,382,75,69,83,85,70,325,70,52,71,57,75,312,48,24,82,91,67,67,78,22,16,19,50,6,14,10,6,14,1920,398,Medium,Low,72,73,86,85,24,58,M.,Özil
13,2018-06-01,Arsenal,188567, P. Aubameyang,28,87,87,84,ST,0,406,77,87,79,77,86,377,79,78,74,64,82,422,94,95,77,86,70,390,81,77,78,76,78,333,43,48,89,77,76,76,84,28,25,36,48,6,9,15,9,9,2065,441,Medium,Low,95,84,75,80,37,70,P.,Aubameyang
14,2018-06-01,Liverpool,209331, M. Salah,25,87,90,87,CF,3,379,77,88,59,82,73,385,88,82,60,67,88,450,94,93,87,88,88,389,77,70,85,76,81,350,63,55,89,82,61,61,89,37,43,41,62,14,14,9,11,14,2136,461,High,Medium,93,82,78,88,45,75,M.,Salah
15,2018-06-01,Chelsea,184432, Azpilicueta,27,86,88,84,RB,2,334,80,46,76,81,51,354,69,68,58,80,79,391,77,79,75,87,73,366,68,76,88,74,60,369,82,85,62,74,66,66,78,89,89,87,43,13,9,10,6,5,2122,450,Medium,Medium,78,55,77,74,87,79,Azpilicueta,Azpilicueta
16,2018-06-01,Man Utd,192505, R. Lukaku,24,86,90,84,ST,4,402,75,88,87,74,78,365,79,74,66,73,73,361,78,89,62,85,47,409,88,72,80,93,76,340,72,27,87,74,80,80,82,27,30,30,54,8,15,14,7,10,2018,436,Medium,Medium,84,85,74,74,34,85,R.,Lukaku
